__Label__,Sample,chemical_formula,processing_method,sample_depth,sample_id,sample_length,sample_width,__rowkey__
Type,mds:XraySample,mds:ChemicalFormula,mds:ProcessingMethod,cco:ont00000607,mds:SampleID,cco:ont00000738,cco:ont00000324,
Units,,{'@id': 'unit:IN'},,{'@id': 'unit:IN'},itI',{'@id': 'unit:IN'},{'@id': 'unit:IN'},
Study Stage,Recipe,Sample,Recipe,Recipe,Sample,Formulation,,
1,EBM1,Ti6Al4V,Electron Beam Melting,0.87,Ti64-EBM1,3.97,2.86,REC808835_SA805384_FOR159059_RSLT223534
2,PB2,TI6Al4V,Laser Powder Bed Fusion,0.77,Ti64-PB2,3.76,2.74,REC852382_SA827046_FOR696580_RSLT689951
3,PB1,Ti6Al4V,Laser Powder Bed Fusion,0.83,Ti64-PB1,3.81,2.82,REC621755_SA384821_FOR182060_RSLT751747
4,LENS2,Ti6Al4V,Laser Engineered Net Shaping,0.8,Ti64-LENS2,3.76,2.79,REC257872_SA789817_FOR696580_RSLT716881
5,LENS1,Ti6Al4V,Laser Engineered Net Shaping,0.8,Ti64-LENS1,3.74,2.78,REC187098_SA754648_FOR720915_RSLT162634
6,CeO2,Ceria calibrant,,,CeO2,,,SA884581
7,EBM3,Ti6Al4V,Electron Beam Melting,0.8,Ti64-EBM3,3.78,2.81,REC217489_SA383167_FOR798209_RSLT652672
8,EBM2,Ti6Al4V,Electron Beam Melting,0.87,Ti64-EBM2,3.88,2.86,REC847839_SA130218_FOR190488_RSLT223534
9,LENS2,Ti6Al4V,Laser Engineered Net Shaping,0.8,Ti64-LENS2,3.76,2.79,REC257872_SA789817_FOR696580_RSLT716881
